importance_rank,topic_id,importance_score,article_coverage,article_count,topic_size,topic_size_share,interpretability,semantic_coherence,exclusivity,topic_label,topic_words,prob_words
1,7,0.9166412444072992,0.3847583643122677,207,73.52836746324573,0.136669827998598,0.7311353375664225,-25.26875704057104,9.595985880215425,"FREX: destiny, moral, virtue, universe, doctrine, mencius, confucius, lao_tzu, piety, principles | Prob: heaven, nature, confucius, king, things, mind, world, human, earth, tzu | Representative: Theistic import of the Sung philosophy, The; Wang - chung and Plato on death and immortality; Notices of the character and writings of Meh tsi; Religious element in the Tso Chuan, The","destiny, moral, virtue, universe, doctrine, mencius, confucius, lao_tzu, piety, principles, filial_piety, duke","heaven, nature, confucius, king, things, mind, world, human, earth, tzu, spirit, law"
2,5,0.9040330578843278,0.3661710037174721,197,58.22278394621672,0.1082207880041202,0.8271997783705374,-25.75158737358648,9.726787131536488,"FREX: sanscrit, phonetic, myth, lunar, aryan, tones, cycle, writing, greek, comparative | Prob: characters, language, modern, word, words, meaning, writing, original, written, indian | Representative: Can Chinese writing be simplified ?; The Comparative study of Chinese dialects; Stray notes on Corean history and literature; Western transcription of Chinese, The","sanscrit, phonetic, myth, lunar, aryan, tones, cycle, writing, greek, comparative, historical, prehistoric","characters, language, modern, word, words, meaning, writing, original, written, indian, century, forms"
3,10,0.8339811757068262,0.3643122676579925,196,57.5302174698294,0.1069334897208725,0.7525875859078139,-24.123276467613906,9.613560407328745,"FREX: prophet, mohammed, tablet, altar, tomb, moslem, tablets, monument, temple, moslems | Prob: emperor, temple, stone, city, ming, imperial, heaven, yuan, yang, palace | Representative: On the Stone figures at Chinese tombs and the offering of living sacrifices; State religion of china during the Manchu Dynasty, The *; Chinese architecture; T'ai Shan *","prophet, mohammed, tablet, altar, tomb, moslem, tablets, monument, temple, moslems, tombs, monuments","emperor, temple, stone, city, ming, imperial, heaven, yuan, yang, palace, han, ang"
4,9,0.7881549649922945,0.2899628252788104,156,57.052249219562114,0.1060450728988143,0.7838950256906827,-34.645514665036075,9.752409376663378,"FREX: coal, channel, mile, limestone, miles, left_bank, gorge, right_bank, bank, rocks | Prob: river, feet, miles, city, bank, island, hills, sea, shan, coal | Representative: Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow; Notes on some dikes at the mouth of the Nankow pass *; Researches into the geology of Formosa *; Notes on Szechuen and the Yangtse valley","coal, channel, mile, limestone, miles, left_bank, gorge, right_bank, bank, rocks, bore, keang","river, feet, miles, city, bank, island, hills, sea, shan, coal, journey, stream"
5,14,0.7103510238053365,0.3048327137546468,164,46.0619286452568,0.085616967742113,0.7427910260201931,-21.976032091336418,9.580744909292326,"FREX: girl, girls, wear, flying, fox, woman, women, clothes, children, hell | Prob: women, fish, children, night, house, white, family, saw, away, young | Representative: The Fish - skin Tartars; Sketches of the Miau - tsze; Some notes on land - birds, including also general remarks on the birds observed at sea on the coast of China in 1916; Hainanese Miao, The *","girl, girls, wear, flying, fox, woman, women, clothes, children, hell, festival, demon","women, fish, children, night, house, white, family, saw, away, young, birds, wife"
6,12,0.5174409347038444,0.3475836431226766,187,51.26229221951545,0.0952830710399915,0.443059203809919,-30.04141462018619,9.26148929009673,"FREX: portuguese, treaty, ministers, commissioners, forts, ward, settlement, dutch, ships, foreigners | Prob: government, sent, emperor, foreign, peking, soon, japanese, japan, went, english | Representative: Narrative of the American Embassy to Peking; Recollections of China prior to 1840; Some new light on the life and times of Bishop Della Chiesa; Early Portuguese commerce and settlements in China *","portuguese, treaty, ministers, commissioners, forts, ward, settlement, dutch, ships, foreigners, interview, party","government, sent, emperor, foreign, peking, soon, japanese, japan, went, english, shanghai, officers"
7,11,0.5148787059847666,0.2156133828996282,116,35.70414923689116,0.066364589659649,0.6761722520350154,-43.53343690919506,9.693270045695614,"FREX: bithe, library, vols, wylie, bottles, libraries, julien, chinese_porcelain, medical, hua_ching | Prob: manchu, works, library, book, books, translation, porcelain, ching, les, published | Representative: ON THE CHINESE COINS AND SMALL PORCELAIN BOTTLES FOUND IN EGYPT.; Java; Essay on Manchu literature; Western appliances in the Chinese printing industry","bithe, library, vols, wylie, bottles, libraries, julien, chinese_porcelain, medical, hua_ching, porcelains, arsenic","manchu, works, library, book, books, translation, porcelain, ching, les, published, art, peking"
8,13,0.488309623240488,0.1598513011152416,86,30.343102088710907,0.0563998180087563,0.7381466192965718,-48.512946202273085,9.820989119072657,"FREX: currency, eunuchs, obverse, guild, chinese_law, tael, reverse, coinage, obverse_reverse, eunuch | Prob: law, silver, cash, reverse, currency, coins, money, family, government, value | Representative: Coins of the Ta - ts'ing or present dynasty of China *; Notes on Chinese banking system in Shanghai; Scarcity of copper cash and the rise in prices; Currency in China *","currency, eunuchs, obverse, guild, chinese_law, tael, reverse, coinage, obverse_reverse, eunuch, guilds, code","law, silver, cash, reverse, currency, coins, money, family, government, value, copper, gold"
9,4,0.4259808583817806,0.1245353159851301,67,24.3574723227004,0.0452741121239784,0.7402370364717215,-54.19101512221471,9.876449364155578,"FREX: musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, games, wares, holes, inches | Prob: inches, black, instruments, white, colour, pieces, game, musical, instrument, piece | Representative: Music of China, The *; Coins of the Republic of China *; Chinese ideas of antiques; Wei - ch ' i *","musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, games, wares, holes, inches, bronze, game","inches, black, instruments, white, colour, pieces, game, musical, instrument, piece, wood, king"
10,0,0.4160469892027863,0.0966542750929368,52,28.49475589358752,0.0529642302854786,0.734875446434275,-39.19970098663954,9.730229655918546,"FREX: skvortzow, styan, north_manchuria, length_breadth, genus, kiangyin, breadth, ovate, pall, leaflets | Prob: species, length, leaves, genus, white, manchuria, flowers, breadth, yellow, family | Representative: Collection of birds in the Shanghai Museum, The; The Great wall; The Family names; Then and now","skvortzow, styan, north_manchuria, length_breadth, genus, kiangyin, breadth, ovate, pall, leaflets, dorsal, slender","species, length, leaves, genus, white, manchuria, flowers, breadth, yellow, family, rice, var"
11,3,0.3708590673064549,0.0892193308550185,48,14.976829922683493,0.0278379738339841,0.770656081166236,-51.73137976976393,9.893614937959152,"FREX: chehkiang, cheo, drought, tax, salt, land_tax, likin, roads, remitted, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, chihli, land, autumn | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Salt administration of Ssuch'uan, The","chehkiang, cheo, drought, tax, salt, land_tax, likin, roads, remitted, fuhkien, hupeh, shansi","summer, taels, salt, road, cheo, spring, drought, chihli, land, autumn, roads, shansi"
12,2,0.3584929130238278,0.0631970260223048,34,11.490331738260954,0.021357493937288,0.8054226328725698,-45.552875308359766,9.881973677909542,"FREX: temperature, magnetic, victoria, magnetism, latitude, amoor, vapour, hourly, eastern_asia, nerchinsk | Prob: temperature, mean, eastern, asia, annual, sea, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan","temperature, magnetic, victoria, magnetism, latitude, amoor, vapour, hourly, eastern_asia, nerchinsk, maximum, humidity","temperature, mean, eastern, asia, annual, sea, observations, peking, table, eastern_asia, northern, daily"
13,6,0.328035576830446,0.1598513011152416,86,22.17424023341021,0.0412160599134018,0.6016217574769314,-52.43377435574423,9.67786552429398,"FREX: yuan_shi, tong_king, khan, rashid, tom, noi, chap, tong, western_asia, central_western | Prob: king, shi, city, son, yuan, emperor, khan, mongol, river, tong | Representative: Notices of the mediaeval geography and history of Central and Western Asia *; The Intercourse of China with Central and Western Asia in the Second Century B.C.; Corea; Narrative of recent events in Tong - king","yuan_shi, tong_king, khan, rashid, tom, noi, chap, tong, western_asia, central_western, central_western_asia, uigurs","king, shi, city, son, yuan, emperor, khan, mongol, river, tong, sent, mongols"
14,8,0.1782395609680008,0.1152416356877323,62,18.405612000670796,0.0342111747224364,0.5,-92.79856240796326,9.918959264232107,"FREX: tungus, goldi, orn, reindeer, zool, shaman, ibis, proc, tibetan, brit | Prob: tungus, northern, goldi, russian, manchuria, manchus, orn, groups, tibet, tibetan | Representative: Northern Tungus migrations in the Far East; Who are the Northern Chinese ?; Asiatic origin of South American man, The; Partial bibliography of Chinese birds, A","tungus, goldi, orn, reindeer, zool, shaman, ibis, proc, tibetan, brit, bull, tibet","tungus, northern, goldi, russian, manchuria, manchus, orn, groups, tibet, tibetan, birds, river"
15,1,0.1446039371247466,0.0334572490706319,18,8.39566759945835,0.0156053301105173,0.6097039222824021,-59.63267663215419,9.755322978247609,"FREX: lour, cultivated_china, thbg, kth, fructu, china_cochin, foliis, tab, linn, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java","lour, cultivated_china, thbg, kth, fructu, china_cochin, foliis, tab, linn, frutex, folia, flore","lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab, china_cochin, king"
