K,topic_id,topic_label,frex_words,prob_words,representative_titles
15,0,"FREX: skvortzow, styan, north_manchuria, length_breadth, genus, kiangyin, breadth, ovate, pall, leaflets | Prob: species, length, leaves, genus, white, manchuria, flowers, breadth, yellow, family | Representative: Collection of birds in the Shanghai Museum, The; The Great wall; The Family names; Then and now","skvortzow, styan, north_manchuria, length_breadth, genus, kiangyin, breadth, ovate, pall, leaflets","species, length, leaves, genus, white, manchuria, flowers, breadth, yellow, family","Collection of birds in the Shanghai Museum, The; The Great wall; The Family names; Then and now"
15,1,"FREX: lour, cultivated_china, thbg, kth, fructu, china_cochin, foliis, tab, linn, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java","lour, cultivated_china, thbg, kth, fructu, china_cochin, foliis, tab, linn, frutex","lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab",Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java
15,2,"FREX: temperature, magnetic, victoria, magnetism, latitude, amoor, vapour, hourly, eastern_asia, nerchinsk | Prob: temperature, mean, eastern, asia, annual, sea, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan","temperature, magnetic, victoria, magnetism, latitude, amoor, vapour, hourly, eastern_asia, nerchinsk","temperature, mean, eastern, asia, annual, sea, observations, peking, table, eastern_asia","The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,3,"FREX: chehkiang, cheo, drought, tax, salt, land_tax, likin, roads, remitted, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, chihli, land, autumn | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Salt administration of Ssuch'uan, The","chehkiang, cheo, drought, tax, salt, land_tax, likin, roads, remitted, fuhkien","summer, taels, salt, road, cheo, spring, drought, chihli, land, autumn","Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Salt administration of Ssuch'uan, The"
15,4,"FREX: musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, games, wares, holes, inches | Prob: inches, black, instruments, white, colour, pieces, game, musical, instrument, piece | Representative: Music of China, The *; Coins of the Republic of China *; Chinese ideas of antiques; Wei - ch ' i *","musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, games, wares, holes, inches","inches, black, instruments, white, colour, pieces, game, musical, instrument, piece","Music of China, The *; Coins of the Republic of China *; Chinese ideas of antiques; Wei - ch ' i *"
15,5,"FREX: sanscrit, phonetic, myth, lunar, aryan, tones, cycle, writing, greek, comparative | Prob: characters, language, modern, word, words, meaning, writing, original, written, indian | Representative: Can Chinese writing be simplified ?; The Comparative study of Chinese dialects; Stray notes on Corean history and literature; Western transcription of Chinese, The","sanscrit, phonetic, myth, lunar, aryan, tones, cycle, writing, greek, comparative","characters, language, modern, word, words, meaning, writing, original, written, indian","Can Chinese writing be simplified ?; The Comparative study of Chinese dialects; Stray notes on Corean history and literature; Western transcription of Chinese, The"
15,6,"FREX: yuan_shi, tong_king, khan, rashid, tom, noi, chap, tong, western_asia, central_western | Prob: king, shi, city, son, yuan, emperor, khan, mongol, river, tong | Representative: Notices of the mediaeval geography and history of Central and Western Asia *; The Intercourse of China with Central and Western Asia in the Second Century B.C.; Corea; Narrative of recent events in Tong - king","yuan_shi, tong_king, khan, rashid, tom, noi, chap, tong, western_asia, central_western","king, shi, city, son, yuan, emperor, khan, mongol, river, tong",Notices of the mediaeval geography and history of Central and Western Asia *; The Intercourse of China with Central and Western Asia in the Second Century B.C.; Corea; Narrative of recent events in Tong - king
15,7,"FREX: destiny, moral, virtue, universe, doctrine, mencius, confucius, lao_tzu, piety, principles | Prob: heaven, nature, confucius, king, things, mind, world, human, earth, tzu | Representative: Theistic import of the Sung philosophy, The; Wang - chung and Plato on death and immortality; Notices of the character and writings of Meh tsi; Religious element in the Tso Chuan, The","destiny, moral, virtue, universe, doctrine, mencius, confucius, lao_tzu, piety, principles","heaven, nature, confucius, king, things, mind, world, human, earth, tzu","Theistic import of the Sung philosophy, The; Wang - chung and Plato on death and immortality; Notices of the character and writings of Meh tsi; Religious element in the Tso Chuan, The"
15,8,"FREX: tungus, goldi, orn, reindeer, zool, shaman, ibis, proc, tibetan, brit | Prob: tungus, northern, goldi, russian, manchuria, manchus, orn, groups, tibet, tibetan | Representative: Northern Tungus migrations in the Far East; Who are the Northern Chinese ?; Asiatic origin of South American man, The; Partial bibliography of Chinese birds, A","tungus, goldi, orn, reindeer, zool, shaman, ibis, proc, tibetan, brit","tungus, northern, goldi, russian, manchuria, manchus, orn, groups, tibet, tibetan","Northern Tungus migrations in the Far East; Who are the Northern Chinese ?; Asiatic origin of South American man, The; Partial bibliography of Chinese birds, A"
15,9,"FREX: coal, channel, mile, limestone, miles, left_bank, gorge, right_bank, bank, rocks | Prob: river, feet, miles, city, bank, island, hills, sea, shan, coal | Representative: Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow; Notes on some dikes at the mouth of the Nankow pass *; Researches into the geology of Formosa *; Notes on Szechuen and the Yangtse valley","coal, channel, mile, limestone, miles, left_bank, gorge, right_bank, bank, rocks","river, feet, miles, city, bank, island, hills, sea, shan, coal","Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow; Notes on some dikes at the mouth of the Nankow pass *; Researches into the geology of Formosa *; Notes on Szechuen and the Yangtse valley"
15,10,"FREX: prophet, mohammed, tablet, altar, tomb, moslem, tablets, monument, temple, moslems | Prob: emperor, temple, stone, city, ming, imperial, heaven, yuan, yang, palace | Representative: On the Stone figures at Chinese tombs and the offering of living sacrifices; State religion of china during the Manchu Dynasty, The *; Chinese architecture; T'ai Shan *","prophet, mohammed, tablet, altar, tomb, moslem, tablets, monument, temple, moslems","emperor, temple, stone, city, ming, imperial, heaven, yuan, yang, palace","On the Stone figures at Chinese tombs and the offering of living sacrifices; State religion of china during the Manchu Dynasty, The *; Chinese architecture; T'ai Shan *"
15,11,"FREX: bithe, library, vols, wylie, bottles, libraries, julien, chinese_porcelain, medical, hua_ching | Prob: manchu, works, library, book, books, translation, porcelain, ching, les, published | Representative: ON THE CHINESE COINS AND SMALL PORCELAIN BOTTLES FOUND IN EGYPT.; Java; Essay on Manchu literature; Western appliances in the Chinese printing industry","bithe, library, vols, wylie, bottles, libraries, julien, chinese_porcelain, medical, hua_ching","manchu, works, library, book, books, translation, porcelain, ching, les, published",ON THE CHINESE COINS AND SMALL PORCELAIN BOTTLES FOUND IN EGYPT.; Java; Essay on Manchu literature; Western appliances in the Chinese printing industry
