K,topic_id,rank,theta,master_id,title,author,year,decade,L1,topic_label
30,0,1,0.9994740464297986,,,,1913,1910,Unknown,"FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
30,0,2,0.999223445012357,MASTER_00323,"Collection of birds in the Shanghai Museum, The","Touche, J. D. D. La",1909,1900,Natural Sciences,"FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
30,0,3,0.9931337279331276,,,,1871,1870,Unknown,"FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
30,0,4,0.9887222636730834,,,,1913,1910,Unknown,"FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
30,0,5,0.8981881628074974,MASTER_00347,"Collection of Chinese reptiles in the Shanghai Museum, The","Stanley, A.",1914,1910,Natural Sciences,"FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
30,0,6,0.174969136308844,MASTER_00560,Preliminary notes on the natural history of Nanking,"Ping, C.",1931,1930,Natural Sciences,"FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
30,0,7,0.153471192374428,MASTER_00372,Two new species of Chinese snakes *,"Stanley, A.",1916,1910,Natural Sciences,"FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
30,0,8,0.1128097985880086,MASTER_00347,"Collection of Chinese reptiles in the Shanghai Museum, The","Stanley, A.",1914,1910,Natural Sciences,"FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
30,0,9,0.0960073013044546,MASTER_00412,"Beginning of the study of the flora and fauna of Soochow and vicinity, A","Gee, N. G.",1919,1910,Natural Sciences,"FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
30,0,10,0.0812146245343496,MASTER_00017,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850,Natural Sciences,"FREX: styan, kiangyin, chinkiang, genus, warbler, resident, yangtse_valley, swinhoe, shanghai_museum, fokien | Prob: genus, chinkiang, styan, family, winter, swinhoe, kiangyin, specimens, resident, collection | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Preliminary notes on the natural history of Nanking; Two new species of Chinese snakes *"
