text_file,raw_text_path,cleaned_readable_text_path,analysis_text_path,text_units_path,raw_text_checksum,raw_char_count,cleaned_readable_char_count,analysis_token_count,paragraph_count,sentence_count,detected_language,language_confidence,possible_mixed_language_flag,suggested_text_type,final_text_type,exclude_from_article_analysis,exclusion_reason,matched_master_id,matched_title,matched_year,match_confidence,year_conflict_flag,duplicate_group_id,duplicate_flag,needs_match_review_flag,text_id,file_size,encoding,raw_line_count,filename_year_hint,filename_suffix,possible_non_article_flag,notes_x,language_detection_method,non_english_flag,chinese_flag,text_type_source,analysis_char_count,analysis_preprocessing_profile,cleaned_readable_excerpt_x,duplicate_hash,sentence_segmentation_method,sentence_segmentation_warning,matched_author,title_score,second_title_score,score_margin,year_bonus,combined_score,score_reason,cleaned_readable_excerpt_y,master_id,year,volume,author,author_raw,title,year_start,year_end,time_window,notes_y,metadata_row_count,subject_list,subject_l1_list,subject_l2_list,subject_raw_list,subject_raw_norm_list,subject_split_list,mapping_note_list,subject_weight_list,suggested_keep_or_exclude,include_in_final_article_analysis,final_dataset_exclusion_reason
1858_01.txt,C:\ras_text_analysis\files_for_text_analysis\articles\1858_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\text_units_v2_header_removed\article_text_units.csv,9cfd830c3bc9ba7ba12532540cdb52c874618f61,37962,36266,3059,16,226,en,0.943,False,article_candidate,article_candidate,False,,MASTER_00156,The Climate of Eastern Asia,1877,review_year_conflict,True,,False,True,TXT_00001,37984,utf-8-sig,704,1858,,False,,heuristic_script_and_stopword,False,False,filename_suffix_rule,23019,en_lowercase_stopword_filter_custom_stopwords,"ARTICLE I. BISE. INAUGURAL ADDRESS, BY REV. E. C. BRIDGMAN, D. D., THE PRESIDENT OF THE SOCIETY, Delivered October 16th, 1857. Literature anD SCIENCE, next to true religion, are the richest, noblest, brightest ornaments of man. In these, great advances have been made without the aid of revealed truth, but the greatest advances only where literature and science have been cultivated under its hallowed influences. Here in this ancient empire, if I mistake not, it is mainly or solely on account of t",8450a3c221dfec562977266db5c16e6e96474cf3,en_punctuation_regex,,"Fritsche, H.",75.0,75.0,0.0,-12,63.0,coverage=1.00;local_coverage=0.25,"ARTICLE I. BISE. INAUGURAL ADDRESS, BY REV. E. C. BRIDGMAN, D. D., THE PRESIDENT OF THE SOCIETY, Delivered October 16th, 1857. Literature anD SCIENCE, next to true religion, are the richest, noblest, brightest ornaments of man. In these, great advances have been made without the aid of revealed truth, but the greatest advances only where literature and science have been cultivated under its hallowed influences. Here in this ancient empire, if I mistake not, it is mainly or solely on account of t",MASTER_00156,1877,NS 12,"Fritsche, H.","Fritsche, H.",The Climate of Eastern Asia,1878.0,1878.0,1878-1887,,1.0,Meteorology,Natural Sciences,Meteorology,meteorology,meteorology,meteorology,,Meteorology:1.0,keep,False,metadata_match_needs_review
1858_02.txt,C:\ras_text_analysis\files_for_text_analysis\articles\1858_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\text_units_v2_header_removed\article_text_units.csv,30f0941ce2f1d7cb1c573bdbda101a469b90b65a,63325,60257,5110,33,982,en,0.925,False,article_candidate,article_candidate,False,,MASTER_00004,"On Cyclones , or the Law of Storms",1858,review,False,,False,True,TXT_00002,63436,utf-8-sig,1506,1858,,False,,heuristic_script_and_stopword,False,False,filename_suffix_rule,37601,en_lowercase_stopword_filter_custom_stopwords,"ARTICLE II. ON CYCLONES, OR THE LAW OF STORMS. A PAPER BY SIR F. W. NICOLSON, BART., CAPTAIN OF H.M.S. ""PIQUE;"" Read October 16th, 1857. A FEW YEARS only have elapsed since the discovery of the Law of Storms. Previous to the researches of Redfield, Reid and others, all winds were supposed to blow in straight lines. At present there is a tendency to consider the variable winds as rotating in obedience to certain laws. All the violent storms, on which observations have been made, have been proved ",d25d4f254019dc91e6a10755d861c93d218a75eb,en_punctuation_regex,,"Nicolson, F. W.",100.0,100.0,0.0,12,112.0,title_substring_in_head,"ARTICLE II. ON CYCLONES, OR THE LAW OF STORMS. A PAPER BY SIR F. W. NICOLSON, BART., CAPTAIN OF H.M.S. ""PIQUE;"" Read October 16th, 1857. A FEW YEARS only have elapsed since the discovery of the Law of Storms. Previous to the researches of Redfield, Reid and others, all winds were supposed to blow in straight lines. At present there is a tendency to consider the variable winds as rotating in obedience to certain laws. All the violent storms, on which observations have been made, have been proved ",MASTER_00004,1858,OS 1 Part 1,"Nicolson, F. W.","Nicolson, F. W.","On Cyclones , or the Law of Storms",1858.0,1858.0,1858-1867,,1.0,Meteorology,Natural Sciences,Meteorology,meteorology,meteorology,meteorology,,Meteorology:1.0,keep,False,metadata_match_needs_review
1858_03.txt,C:\ras_text_analysis\files_for_text_analysis\articles\1858_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\text_units_v2_header_removed\article_text_units.csv,b4e6cb4f31a5d20837bc123c1f1e1150c86ab2bc,66012,59351,5093,152,939,en,0.825,False,article_candidate,article_candidate,False,,MASTER_00002,Coins of the Ta - ts'ing or present dynasty of China *,1858,review,False,,False,True,TXT_00003,70626,utf-8-sig,2748,1858,,False,,heuristic_script_and_stopword,False,False,filename_suffix_rule,33550,en_lowercase_stopword_filter_custom_stopwords,"ARTICLE III. COINS OF THE TA-TSING, 大​清 ​OR PRESENT DYNASTY OF CHINA. BY MR. A. WYLIE. Laid before the Society, November 17th, 1857. THE following catalogue of Coins, cast in China during the domination of the Manchu dynasty, does not profess to be complete, but it is believed the number omitted is inconsiderable. The greater part of the cuts are copies from actual specimens; some of the extra-legal coins are from representations given in the Seuèn ts'ing seaòu `tsëen, ""Numismatic Memoranda;"" a ",f2d27670a37e7a8dde40547d079dbfc8402575c5,en_punctuation_regex,,"Wylie, A.",75.0,92.0,-17.0,12,87.0,coverage=1.00;local_coverage=0.83,"ARTICLE III. COINS OF THE TA-TSING, 大​清 ​OR PRESENT DYNASTY OF CHINA. BY MR. A. WYLIE. Laid before the Society, November 17th, 1857. THE following catalogue of Coins, cast in China during the domination of the Manchu dynasty, does not profess to be complete, but it is believed the number omitted is inconsiderable. The greater part of the cuts are copies from actual specimens; some of the extra-legal coins are from representations given in the Seuèn ts'ing seaòu `tsëen, ""Numismatic Memoranda;"" a ",MASTER_00002,1858,OS 1 Part 1,"Wylie, A.","Wylie, A.",Coins of the Ta - ts'ing or present dynasty of China *,1858.0,1858.0,1858-1867,,1.0,Numismatics,Arts and Archaeology,Numismatics,coinage,coinage,coinage,LCSH standard form,Numismatics:1.0,keep,False,metadata_match_needs_review
1858_04.txt,C:\ras_text_analysis\files_for_text_analysis\articles\1858_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\text_units_v2_header_removed\article_text_units.csv,3b11ed0969a27040fd7d9acd7c3352ebca0f6993,9762,9346,803,4,79,en,0.907,False,article_candidate,article_candidate,False,,MASTER_00003,Contribution to the ethnology of Eastern Asia,1858,review,False,,False,True,TXT_00004,9770,utf-8-sig,182,1858,,False,,heuristic_script_and_stopword,False,False,filename_suffix_rule,6154,en_lowercase_stopword_filter_custom_stopwords,"ARTICLE IV. CONTRIBUTION TO THE ETHNOLOGY OF EASTERN ASIA. Br. D. J. MacGowan, M.D. Corresponding member of the American Oriental Society; of the Asiatic Society of Bengal, &c. &c. Read, November 17th, 1857. It appears to have been the duty of Chinese historiographers, from high antiquity, to put on record all information of interest respecting foreign lands, which the various embassies to China afforded, respecting the countries whence they came. Accordingly the annals of this empire are found ",e56d918d12460921f2381f36414a46ed502b44b9,en_punctuation_regex,,"Macgowan, D. J.",100.0,100.0,0.0,12,112.0,title_substring_in_head,"ARTICLE IV. CONTRIBUTION TO THE ETHNOLOGY OF EASTERN ASIA. Br. D. J. MacGowan, M.D. Corresponding member of the American Oriental Society; of the Asiatic Society of Bengal, &c. &c. Read, November 17th, 1857. It appears to have been the duty of Chinese historiographers, from high antiquity, to put on record all information of interest respecting foreign lands, which the various embassies to China afforded, respecting the countries whence they came. Accordingly the annals of this empire are found ",MASTER_00003,1858,OS 1 Part 1,"Macgowan, D. J.","Macgowan, D. J.",Contribution to the ethnology of Eastern Asia,1858.0,1858.0,1858-1867,,2.0,Ethnology | Anthropology,Anthropology and Social Customs,Ethnology | Anthropology,ethnology and anthropology,ethnology and anthropology,ethnology | anthropology,,Ethnology:0.5 | Anthropology:0.5,keep,False,metadata_match_needs_review
1858_05.txt,C:\ras_text_analysis\files_for_text_analysis\articles\1858_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\text_units_v2_header_removed\article_text_units.csv,680c161f788ba4b4fbe126a1f0e380b970146f90,40137,37743,2955,22,377,en,0.918,False,article_candidate,article_candidate,False,,MASTER_00001,"A Buddhist Shastra , Translated from the Chinese",1858,high,False,,False,False,TXT_00005,44774,utf-8-sig,827,1858,,False,,heuristic_script_and_stopword,False,False,filename_suffix_rule,21891,en_lowercase_stopword_filter_custom_stopwords,"ARTICLE V. A BUDDHIST SHASTRA, TRANSLATED FROM THE CHINESE: WITH AN ANALYSIS AND NOTES. BY THE REV. J. EDKINS, B.A. Read, November 17th, 1857. THE Buddhist translations from Sanscrit are, as is well known, like the originals, in three divisions, consisting of Sutras, Vinaya and Shastras, or king, liuh and lun. The Sutras are the teaching of Buddha himself, and their statements of doctrine are considered by faithful Buddhists as authoritative. The reference made to the Sutras in the present brief",c4527175c208d258f957d4d688df1ee48918041c,en_punctuation_regex,,"Edkins, J.",100.0,92.0,8.0,12,112.0,title_substring_in_head,"ARTICLE V. A BUDDHIST SHASTRA, TRANSLATED FROM THE CHINESE: WITH AN ANALYSIS AND NOTES. BY THE REV. J. EDKINS, B.A. Read, November 17th, 1857. THE Buddhist translations from Sanscrit are, as is well known, like the originals, in three divisions, consisting of Sutras, Vinaya and Shastras, or king, liuh and lun. The Sutras are the teaching of Buddha himself, and their statements of doctrine are considered by faithful Buddhists as authoritative. The reference made to the Sutras in the present brief",MASTER_00001,1858,OS 1 Part 1,"Edkins, J.","Edkins, J.","A Buddhist Shastra , Translated from the Chinese",1858.0,1858.0,1858-1867,,1.0,Buddhism,Religion and Philosophy,Buddhism,Buddhism,buddhism,buddhism,,Buddhism:1.0,keep,True,
1858_06.txt,C:\ras_text_analysis\files_for_text_analysis\articles\1858_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\text_units_v2_header_removed\article_text_units.csv,73ae77c73a5d377b895dfbf0305cb419f53f9c0a,21784,20826,1793,9,172,en,0.933,False,article_candidate,article_candidate,False,,MASTER_00005,Visit to Simoda and Hakodadi in Japan,1858,high,False,,False,False,TXT_00006,21807,utf-8-sig,393,1858,,False,,heuristic_script_and_stopword,False,False,filename_suffix_rule,13284,en_lowercase_stopword_filter_custom_stopwords,"[ 129 ¡ ARTICLE VI. VISIT TO SIMODA AND HAKODADI IN JAPAN. EXTRACTED, BY PERMISSION, FROM A LETTER FROM CAPT. A. H. FOOTE, U. S. Ship Portsmouth, dated September 15th, 1857. Read before the Society, December 15th, 1857. THE passage of the Portsmouth from Shanghai to Simoda, as might have been anticipated, in the month of September, was long and dreary. The Sunday previous to our arrival, ""breakers ahead"" were reported by the look-out on the fore-topsail yard. We stood on until they were plainly ",f67c5ecb99749ca1aa77e2cacda16e63355e7648,en_punctuation_regex,,"Foote, A. H.",100.0,75.0,25.0,12,112.0,title_substring_in_head,"[ 129 ¡ ARTICLE VI. VISIT TO SIMODA AND HAKODADI IN JAPAN. EXTRACTED, BY PERMISSION, FROM A LETTER FROM CAPT. A. H. FOOTE, U. S. Ship Portsmouth, dated September 15th, 1857. Read before the Society, December 15th, 1857. THE passage of the Portsmouth from Shanghai to Simoda, as might have been anticipated, in the month of September, was long and dreary. The Sunday previous to our arrival, ""breakers ahead"" were reported by the look-out on the fore-topsail yard. We stood on until they were plainly ",MASTER_00005,1858,OS 1 Part 1,"Foote, A. H.","Foote, A. H.",Visit to Simoda and Hakodadi in Japan,1858.0,1858.0,1858-1867,,1.0,Travel,Geography and Travel,Travel,travel and general descriptions,travel and general descriptions,travel,,Travel:1.0,keep,True,
1858_07_record_of_occurence.txt,C:\ras_text_analysis\files_for_text_analysis\articles\1858_07_record_of_occurence.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_07_record_of_occurence.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_07_record_of_occurence.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\text_units_v2_header_removed\article_text_units.csv,7e68d5d37a71bd5f36f7b811731d6257b350ecae,26948,25897,2175,10,171,en,0.933,False,article_candidate,article_candidate,False,,MASTER_00209,Where was Ta - ts ' in ?,1886,review_year_conflict,True,,False,True,TXT_00007,26961,utf-8-sig,456,1858,record_of_occurence,False,,heuristic_script_and_stopword,False,False,filename_suffix_rule,16838,en_lowercase_stopword_filter_custom_stopwords,"ARTICLE VII. RECORD OF OCCURRENCES IN CHINA. PREPARED BY THE EDITORIAL COMMITTEE. June 1st 1858. GREAT events, rather than great men, characterize the times in which we live. We admire the deeds performed, while we scarcely notice the actors. Indeed, an advance in improvements, constantly more and more accelerated, seems to be the settled order of the day. This results, doubtless, not so much from superior genius and learning, as from accumulated experience and observation,-not so much from any ",38b0c7c71b3c0bacdbdf93554f5dc69508d57a5a,en_punctuation_regex,,"Allen, H. J.",75.0,75.0,0.0,-12,63.0,coverage=1.00;local_coverage=0.00,"ARTICLE VII. RECORD OF OCCURRENCES IN CHINA. PREPARED BY THE EDITORIAL COMMITTEE. June 1st 1858. GREAT events, rather than great men, characterize the times in which we live. We admire the deeds performed, while we scarcely notice the actors. Indeed, an advance in improvements, constantly more and more accelerated, seems to be the settled order of the day. This results, doubtless, not so much from superior genius and learning, as from accumulated experience and observation,-not so much from any ",MASTER_00209,1886,NS 21,"Allen, H. J.","Allen, H. J.",Where was Ta - ts ' in ?,1886.0,1886.0,1878-1887,,1.0,Geography,Geography and Travel,Geography,geography,geography,geography,,Geography:1.0,keep,False,metadata_match_needs_review
1859_01.txt,C:\ras_text_analysis\files_for_text_analysis\articles\1859_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\text_units_v2_header_removed\article_text_units.csv,042191ef9eda7ee77974408dbe013b5f1f2b3ee3,49104,47229,4246,20,356,en,0.941,False,article_candidate,article_candidate,False,,MASTER_00014,Narrative of a visit to the island of Formosa,1859,review,False,,False,True,TXT_00008,49144,utf-8-sig,939,1859,,False,,heuristic_script_and_stopword,False,False,filename_suffix_rule,28739,en_lowercase_stopword_filter_custom_stopwords,"JOURNAL OF THE NORTH-CHINA BRANCH OF THE ROYAL ASIATIC SOCIETY. NCBRAS. ARTICLE I. NARRATIVE OF A VISIT TO THE ISLAND OF FORMOSA; BY ROBERT SWINHOE, ESQ., or H. B. M. CONSULATE, ANOY. Read before the Society, July 20th, 1858. HAVING had the pleasure of accompanying H. M. Str. Inflexible as interpreter, on her late expedition to Formosa in search for information relative to the rumor of the detention there, by savages, of Messrs. Smith and Nye, a few notes, extracted from my journal, will perhaps",02df3af89e4cdffc6260d3234ae8635fdb2b2457,en_punctuation_regex,,"Swinhoe, R.",100.0,100.0,0.0,12,112.0,title_substring_in_head,"JOURNAL OF THE NORTH-CHINA BRANCH OF THE ROYAL ASIATIC SOCIETY. NCBRAS. ARTICLE I. NARRATIVE OF A VISIT TO THE ISLAND OF FORMOSA; BY ROBERT SWINHOE, ESQ., or H. B. M. CONSULATE, ANOY. Read before the Society, July 20th, 1858. HAVING had the pleasure of accompanying H. M. Str. Inflexible as interpreter, on her late expedition to Formosa in search for information relative to the rumor of the detention there, by savages, of Messrs. Smith and Nye, a few notes, extracted from my journal, will perhaps",MASTER_00014,1859,OS 1 Part 2,"Swinhoe, R.","Swinhoe, R.",Narrative of a visit to the island of Formosa,1859.0,1859.0,1858-1867,"Formosa, the old name of Taiwan, <U+53F0><U+6E7E>",1.0,Travel,Geography and Travel,Travel,travel and general descriptions,travel and general descriptions,travel,,Travel:1.0,keep,False,metadata_match_needs_review
1859_02.txt,C:\ras_text_analysis\files_for_text_analysis\articles\1859_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\text_units_v2_header_removed\article_text_units.csv,6da96452d64560a770668f70dce25af4fd14bc2f,11984,11525,977,5,91,en,0.908,False,article_candidate,article_candidate,False,,MASTER_00009,Notices of the character and writings of Meh tsi,1859,review,False,,False,True,TXT_00009,12008,utf-8-sig,225,1859,,False,,heuristic_script_and_stopword,False,False,filename_suffix_rule,7181,en_lowercase_stopword_filter_custom_stopwords,"[ 165 J ARTICLE II. NOTICES OF THE CHARACTER AND WRITINGS OF MEH TSI; BY THE REV. JOSEPH EDXIN8, B.A. Read before the Society, January 19th, 1858. AMONG the early adversaries of Confucius perhaps the most influential was Meh Tsioh or Meh tsĩ. The notice of his opinions, taken by Mencius, has given him great celebrity and has helped to preserve his work from destruction. In the interval between Confucius and Mencius he had many adherents; and the latter of these two philosophers, fearing that the",082884cb67cfd41b150aa7d3b81e7ebdb2212ab5,en_punctuation_regex,,"Edkins, J.",100.0,100.0,0.0,12,112.0,title_substring_in_head,"[ 165 J ARTICLE II. NOTICES OF THE CHARACTER AND WRITINGS OF MEH TSI; BY THE REV. JOSEPH EDXIN8, B.A. Read before the Society, January 19th, 1858. AMONG the early adversaries of Confucius perhaps the most influential was Meh Tsioh or Meh tsĩ. The notice of his opinions, taken by Mencius, has given him great celebrity and has helped to preserve his work from destruction. In the interval between Confucius and Mencius he had many adherents; and the latter of these two philosophers, fearing that the",MASTER_00009,1859,OS 1 Part 2,"Edkins, J.","Edkins, J.",Notices of the character and writings of Meh tsi,1859.0,1859.0,1858-1867,"MEH TSi, mozi, <U+58A8><U+5B50>",1.0,Philosophy,Religion and Philosophy,Philosophy,philosophy,philosophy,philosophy,,Philosophy:1.0,keep,False,metadata_match_needs_review
1859_03.txt,C:\ras_text_analysis\files_for_text_analysis\articles\1859_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\text_units_v2_header_removed\article_text_units.csv,4f1524d6219a32e865657634e2bbc0437b947310,13870,13298,1126,6,108,en,0.942,False,article_candidate,article_candidate,False,,MASTER_00006,Chinese bibliography,1859,high,False,,False,False,TXT_00010,13960,utf-8-sig,276,1859,,False,,heuristic_script_and_stopword,False,False,filename_suffix_rule,8607,en_lowercase_stopword_filter_custom_stopwords,"ARTICLE III. CHINESE BIBLIOGRAPHY: BY D. J. MACGOWAN, M.D., NINGPO. Letter to the Secretary, read before the Society, March 16th, 1858. DEAR SIR: I beg to express my thanks for the honor that the Literary and Scientific Society of Shanghai has conferred upon me in placing my name on its list of Corresponding Members. It shall be my aim to discharge the duties which that relation imposes; and I avail myself of this occasion to beg your acceptance of the accompanying works, viz: The EU, Yuh-shan H",566c55c60e3a31e2717cf696543754f4466b5578,en_punctuation_regex,,"Macgowan, D. J.",100.0,92.0,8.0,12,112.0,title_substring_in_head,"ARTICLE III. CHINESE BIBLIOGRAPHY: BY D. J. MACGOWAN, M.D., NINGPO. Letter to the Secretary, read before the Society, March 16th, 1858. DEAR SIR: I beg to express my thanks for the honor that the Literary and Scientific Society of Shanghai has conferred upon me in placing my name on its list of Corresponding Members. It shall be my aim to discharge the duties which that relation imposes; and I avail myself of this occasion to beg your acceptance of the accompanying works, viz: The EU, Yuh-shan H",MASTER_00006,1859,OS 1 Part 2,"Macgowan, D. J.","Macgowan, D. J.",Chinese bibliography,1859.0,1859.0,1858-1867,,1.0,Language and languages,Literature and Language,Language and languages,literature and language,literature and language,literature and language,Protected compound mapped to LCSH language term,Language and languages:1.0,keep,True,
