K,topic_id,topic_label,frex_words,prob_words,representative_titles
25,0,"FREX: styan, kiangyin, chinkiang, alligator, genus, flying_fish, warbler, swinhoe, dove, soochow | Prob: genus, birds, species, chinkiang, styan, family, bird, winter, fish, white | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Beginning of the study of the flora and fauna of Soochow and vicinity, A","styan, kiangyin, chinkiang, alligator, genus, flying_fish, warbler, swinhoe, dove, soochow","genus, birds, species, chinkiang, styan, family, bird, winter, fish, white","Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Beginning of the study of the flora and fauna of Soochow and vicinity, A"
25,1,"FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, poppy, plum, var | Prob: length, manchuria, breadth, rice, var, fruits, length_breadth, variety, district, plants | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane","length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, poppy, plum, var","length, manchuria, breadth, rice, var, fruits, length_breadth, variety, district, plants","Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
25,2,"FREX: temperature, victoria, vapour, amoor, nerchinsk, eastern_asia, hourly, diff, latitude, minimum | Prob: temperature, mean, eastern, asia, annual, peking, sea, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border","temperature, victoria, vapour, amoor, nerchinsk, eastern_asia, hourly, diff, latitude, minimum","temperature, mean, eastern, asia, annual, peking, sea, observations, eastern_asia, table","The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
25,3,"FREX: chehkiang, tax, land_tax, drought, cheo, salt, likin, remitted, roads, fuhkien | Prob: summer, taels, salt, road, cheo, spring, drought, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The","chehkiang, tax, land_tax, drought, cheo, salt, likin, remitted, roads, fuhkien","summer, taels, salt, road, cheo, spring, drought, land, autumn, tax","Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
25,4,"FREX: wear, woman, festival, fox, gods, clothes, demon, women, hell, games | Prob: women, god, moon, house, children, white, shall, night, away, home | Representative: Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore","wear, woman, festival, fox, gods, clothes, demon, women, hell, games","women, god, moon, house, children, white, shall, night, away, home","Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore"
25,5,"FREX: architecture, monuments, pagodas, towers, pagoda, chinese_art, cave, tower, temples, roof | Prob: temple, tai, stone, feet, art, wall, temples, buddhist, peking, pagoda | Representative: Chinese pagodas; Chinese Embroidery and Other Art Textile Work; Chinese wood carving *; Relation of Chinese and Siamese, The *","architecture, monuments, pagodas, towers, pagoda, chinese_art, cave, tower, temples, roof","temple, tai, stone, feet, art, wall, temples, buddhist, peking, pagoda","Chinese pagodas; Chinese Embroidery and Other Art Textile Work; Chinese wood carving *; Relation of Chinese and Siamese, The *"
25,6,"FREX: tong_king, garnier, prophet, nous, mohammed, noi, hua_ching, thou, son_king, bishop | Prob: king, son, tong, mohammed, les, prophet, tong_king, religion, garnier, father | Representative: Narrative of recent events in Tong - king; Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster; Corea; Chinese life of Mohammed, A","tong_king, garnier, prophet, nous, mohammed, noi, hua_ching, thou, son_king, bishop","king, son, tong, mohammed, les, prophet, tong_king, religion, garnier, father","Narrative of recent events in Tong - king; Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster; Corea; Chinese life of Mohammed, A"
25,7,"FREX: myth, lunar, sanscrit, aryan, solar, calendar, cycle, jupiter, stars, zodiac | Prob: king, modern, sun, indian, language, moon, origin, word, chow, meaning | Representative: A Comparative table of the ancient lunar asterisms; THE CHINESE CALENDAR: ITS ORIGIN, HISTORY AND CONNECTIONS.; The Ancient language and cult of the Chows ; critical and exegetical notes on the "" Shi- king ""; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history","myth, lunar, sanscrit, aryan, solar, calendar, cycle, jupiter, stars, zodiac","king, modern, sun, indian, language, moon, origin, word, chow, meaning","A Comparative table of the ancient lunar asterisms; THE CHINESE CALENDAR: ITS ORIGIN, HISTORY AND CONNECTIONS.; The Ancient language and cult of the Chows ; critical and exegetical notes on the "" Shi- king ""; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history"
25,8,"FREX: orn, bithe, proc, ibis, brit, zool, vols, thos, soc, vide | Prob: manchu, species, orn, peking, birds, chihli, library, vols, bull, ibis | Representative: Partial bibliography of Chinese birds, A; The Vertebrata of the Province of Chihli, with notes on Chinese zoological nomenclature; Recent research upon the mammalia of North China; Essay on Manchu literature","orn, bithe, proc, ibis, brit, zool, vols, thos, soc, vide","manchu, species, orn, peking, birds, chihli, library, vols, bull, ibis","Partial bibliography of Chinese birds, A; The Vertebrata of the Province of Chihli, with notes on Chinese zoological nomenclature; Recent research upon the mammalia of North China; Essay on Manchu literature"
25,9,"FREX: left_bank, right_bank, channel, bank, bore, village, stream, miles, gorge, mile | Prob: river, miles, feet, city, bank, journey, island, stream, hills, village | Representative: Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow; The Bore of the Tsien - tang Kiang (Hang - chau Bay); Itinerary of a jouney through the Provinces of Hoo - pih, Sze - chuen and Shen - se; Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal","left_bank, right_bank, channel, bank, bore, village, stream, miles, gorge, mile","river, miles, feet, city, bank, journey, island, stream, hills, village","Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow; The Bore of the Tsien - tang Kiang (Hang - chau Bay); Itinerary of a jouney through the Provinces of Hoo - pih, Sze - chuen and Shen - se; Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal"
