importance_rank,topic_id,importance_score,article_coverage,article_count,topic_size,topic_size_share,interpretability,semantic_coherence,exclusivity,topic_label,topic_words,prob_words
1,16,0.9428558461355796,0.3011152416356877,162,53.41348813832857,0.0992815764652947,0.7615065734287645,-22.64868394211505,9.68399460803626,"FREX: taoism, philosophy, confucianism, giles, tones, teachings, immortality, plato, yang_ming, christ | Prob: book, words, books, nature, art, hsi, mind, things, study, knowledge | Representative: A Buddhist Shastra , Translated from the Chinese; Theistic import of the Sung philosophy, The; Some types of Chinese historical thought; The Comparative study of Chinese dialects","taoism, philosophy, confucianism, giles, tones, teachings, immortality, plato, yang_ming, christ, learning, arabic","book, words, books, nature, art, hsi, mind, things, study, knowledge, human, world"
2,13,0.8235294945638643,0.2639405204460966,142,42.51810503282754,0.0790299350052556,0.7574536542189603,-27.864971110667867,9.71784811696983,"FREX: tablet, empress, sacrifice, altar, palace, shuh, emperor, offerings, poem, hall | Prob: emperor, heaven, imperial, city, ming, palace, yang, yuan, han, tablet | Representative: Stories in Chinese paintings, I; On the Stone figures at Chinese tombs and the offering of living sacrifices; State religion of china during the Manchu Dynasty, The *; Southern Migration of the Sung Dynasty","tablet, empress, sacrifice, altar, palace, shuh, emperor, offerings, poem, hall, poet, tomb","emperor, heaven, imperial, city, ming, palace, yang, yuan, han, tablet, ang, court"
3,4,0.758218592385234,0.2788104089219331,150,43.62728489005709,0.0810916076023366,0.6284453023630662,-21.51348933932978,9.517293302153387,"FREX: wear, woman, festival, fox, gods, clothes, demon, women, hell, games | Prob: women, god, moon, house, children, white, shall, night, away, home | Representative: Marriage maker, The; Some Chinese funeral customs; Chinese children's games; Shanghai folk - lore","wear, woman, festival, fox, gods, clothes, demon, women, hell, games, idol, coffin","women, god, moon, house, children, white, shall, night, away, home, woman, young"
4,9,0.7307006551917862,0.1877323420074349,101,32.88935295448115,0.0611326263094445,0.8434963351694886,-32.51803744549466,9.854700144615473,"FREX: left_bank, right_bank, channel, bank, bore, village, stream, miles, gorge, mile | Prob: river, miles, feet, city, bank, journey, island, stream, hills, village | Representative: Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow; The Bore of the Tsien - tang Kiang (Hang - chau Bay); Itinerary of a jouney through the Provinces of Hoo - pih, Sze - chuen and Shen - se; Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal","left_bank, right_bank, channel, bank, bore, village, stream, miles, gorge, mile, flood, journey","river, miles, feet, city, bank, journey, island, stream, hills, village, distance, district"
5,12,0.6049651615912044,0.1802973977695167,97,31.519488820845627,0.0585864104476684,0.6886627377814887,-34.809151381737465,9.687502703702338,"FREX: destiny, duke, mencius, virtue, pawn, confucius, music, lao_tzu, kung_sun, harmony | Prob: king, confucius, heaven, nature, tzu, music, black, things, white, virtue | Representative: Chinese chess *; Wei - ch ' i *; Operations and manifestations of the Tao exemplified in history, The; Destiny, fate","destiny, duke, mencius, virtue, pawn, confucius, music, lao_tzu, kung_sun, harmony, replied, sage","king, confucius, heaven, nature, tzu, music, black, things, white, virtue, duke, mencius"
6,19,0.5905206263467214,0.174721189591078,94,32.95198628840829,0.0612490451457403,0.6632197525988865,-31.369058551622206,9.63173106679264,"FREX: coal, limestone, rocks, sandstone, geology, ranges, carboniferous, strata, formation, beds | Prob: coal, feet, river, sea, rocks, mountains, miles, hills, plain, shan | Representative: A Sketch of the Geology of Quang -tung Province; Researches into the geology of Formosa *; Notes on the coal and Iron Ore deposits of Central Shansi; On the geology of the neighbourhood of Nagasaki","coal, limestone, rocks, sandstone, geology, ranges, carboniferous, strata, formation, beds, mineral, geological","coal, feet, river, sea, rocks, mountains, miles, hills, plain, shan, limestone, surface"
7,17,0.5671497741622402,0.2676579925650557,144,44.39556063881306,0.0825196294401729,0.3652335780537892,-43.13586700238399,9.36449956497439,"FREX: magnetic, retrospect, magnetism, british, medical, settlement, hospital, retrospect_events, foreigners, terrestrial | Prob: government, foreign, shanghai, magnetic, british, peking, foreigners, canton, japan, native | Representative: Three score years and ten; Retrospect of events in China and Japan, 1868; Names and nicknames of the Shanghai settlements; Early days of Western medicine in China","magnetic, retrospect, magnetism, british, medical, settlement, hospital, retrospect_events, foreigners, terrestrial, secretary, policy","government, foreign, shanghai, magnetic, british, peking, foreigners, canton, japan, native, imperial, trade"
8,11,0.564829662131694,0.1579925650557621,85,26.192742828800583,0.0486853955925661,0.7196110495536558,-37.36535611702456,9.743269929191746,"FREX: porcelain, wares, bottles, porcelains, chinese_porcelain, julien, bronzes, inscriptions, lung_uan, ware | Prob: characters, porcelain, colour, written, sung, wares, han, green, ang, works | Representative: ON THE CHINESE COINS AND SMALL PORCELAIN BOTTLES FOUND IN EGYPT.; The Mystery of Ta - ts ' in; Java; Western appliances in the Chinese printing industry","porcelain, wares, bottles, porcelains, chinese_porcelain, julien, bronzes, inscriptions, lung_uan, ware, elementary, antiques","characters, porcelain, colour, written, sung, wares, han, green, ang, works, inscriptions, writing"
9,7,0.5630794948999266,0.1579925650557621,85,27.14011578847836,0.050446311874495,0.7078970065263213,-28.704524324482435,9.66512201247746,"FREX: myth, lunar, sanscrit, aryan, solar, calendar, cycle, jupiter, stars, zodiac | Prob: king, modern, sun, indian, language, moon, origin, word, chow, meaning | Representative: A Comparative table of the ancient lunar asterisms; THE CHINESE CALENDAR: ITS ORIGIN, HISTORY AND CONNECTIONS.; The Ancient language and cult of the Chows ; critical and exegetical notes on the "" Shi- king ""; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history","myth, lunar, sanscrit, aryan, solar, calendar, cycle, jupiter, stars, zodiac, solstice, equinox","king, modern, sun, indian, language, moon, origin, word, chow, meaning, stars, calendar"
10,5,0.5091214183331638,0.1412639405204461,76,23.14900050283515,0.04302788197553,0.6968409682355519,-40.22974508422069,9.737420705690193,"FREX: architecture, monuments, pagodas, towers, pagoda, chinese_art, cave, tower, temples, roof | Prob: temple, tai, stone, feet, art, wall, temples, buddhist, peking, pagoda | Representative: Chinese pagodas; Chinese Embroidery and Other Art Textile Work; Chinese wood carving *; Relation of Chinese and Siamese, The *","architecture, monuments, pagodas, towers, pagoda, chinese_art, cave, tower, temples, roof, design, images","temple, tai, stone, feet, art, wall, temples, buddhist, peking, pagoda, built, mountain"
